original_title,release_date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,budget,6.0 cast,5.0 cast,8.0 cast,6.0 director,8.0 production_companies,6.0 production_companies,7.0 cast,4.0 cast,7.0 production_companies,8.0 director,vote_average,4.0 production_companies,7.0 director,5.0 director,4.0 director,5.0 production_companies
(500) Days of Summer,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7623003.255937149,2.6666666666666665,2.0,0.0,0.0,0.0,2.0,5.0,0.3333333333333333,3.0,0.0,7.0,0.3333333333333333,1.0,0.0,0.0,2.0
10 Things I Hate About You,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20944845.5455091,2.3333333333333335,2.0,0.3333333333333333,0.0,0.0,2.0,5.0,1.3333333333333333,3.0,0.0,7.0,0.6666666666666666,1.0,0.0,0.0,1.6666666666666667
"10,000 BC",2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,106342596.549962,1.25,5.0,0.0,0.75,1.75,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,5.0
101 Dalmatians,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75071703.9038537,2.5,5.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
102 Dalmatians,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107634829.71916601,1.5,5.0,0.0,1.0,1.0,1.0,0.0,1.5,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
10th & Wolf,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8653353.26633258,5.0,2.2,0.0,1.0,0.0,1.0,1.6,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
12 Rounds,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20328008.682499,0.5,5.0,0.0,1.0,0.0,1.75,0.0,0.0,0.25,0.0,5.0,0.0,0.0,1.0,0.75,5.0
12 Years a Slave,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18720667.054808397,2.5,1.0,1.0,0.5,0.5,3.0,5.0,0.5,5.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0
127 Hours,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18000000.0,5.0,2.6666666666666665,0.0,1.0,1.0,5.0,1.0,1.0,3.3333333333333335,0.0,6.0,1.6666666666666667,0.3333333333333333,0.0,0.0,2.6666666666666665
13 Going On 30,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,42714479.7930495,5.0,2.3333333333333335,0.0,1.0,0.0,3.0,1.3333333333333333,0.3333333333333333,1.0,0.0,6.0,1.6666666666666667,0.0,0.3333333333333333,0.0,2.0
